player,wickets,balls_bowled,matches,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
TS Mills,11.0,218.0,10,9.61,31.73,19.82,1.0,0.0
TU Deshpande,4.0,153.0,7,10.2,65.0,38.25,2.0,0.0
Tilak Varma,0.0,12.0,14,6.5,130000.0,120000.0,10.0,0.0
U Kaul,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0
UA Birla,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
UBT Chand,0.0,0.0,20,0.0,0.0,0.0,9.0,0.0
UT Khawaja,0.0,0.0,6,0.0,0.0,0.0,1.0,0.0
UT Yadav,135.0,2945.0,132,8.23,29.93,21.81,32.0,0.0
Umar Gul,12.0,153.0,6,7.76,16.5,12.75,0.0,0.0
Umran Malik,24.0,388.0,17,8.52,22.96,16.17,3.0,0.0
V Kohli,4.0,264.0,216,8.43,92.75,66.0,93.0,0.0
V Pratap Singh,10.0,211.0,9,8.53,30.0,21.1,0.0,0.0
V Sehwag,6.0,138.0,104,10.26,39.33,23.0,34.0,0.0
V Shankar,9.0,258.0,47,8.0,38.22,28.67,27.0,0.0
VG Arora,3.0,110.0,5,9.0,55.0,36.67,1.0,0.0
VH Zol,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0
VR Aaron,44.0,1065.0,50,8.6,34.7,24.2,3.0,0.0
VR Iyer,3.0,78.0,22,9.0,39.0,26.0,11.0,0.0
VRV Singh,12.0,371.0,18,8.88,45.75,30.92,3.0,0.0
VS Malik,6.0,212.0,13,7.58,44.67,35.33,2.0,0.0
VS Yeligati,0.0,32.0,2,11.44,610000.0,320000.0,0.0,0.0
VVS Laxman,0.0,0.0,20,0.0,0.0,0.0,4.0,0.0
VY Mahesh,21.0,359.0,17,8.54,24.33,17.1,6.0,0.0
Virat Singh,0.0,0.0,2,0.0,0.0,0.0,2.0,0.0
Vishnu Vinod,0.0,0.0,3,0.0,0.0,0.0,0.0,2.0
W Jaffer,0.0,0.0,8,0.0,0.0,0.0,4.0,0.0
WA Mota,4.0,75.0,10,7.84,24.5,18.75,5.0,0.0
WD Parnell,26.0,601.0,26,7.3,28.12,23.12,6.0,0.0
WP Saha,0.0,0.0,117,0.0,0.0,0.0,79.0,22.0
WPUJC Vaas,18.0,288.0,13,7.58,20.22,16.0,0.0,0.0
Washington Sundar,33.0,928.0,50,7.22,33.82,28.12,9.0,0.0
X Thalaivan Sargunam,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Y Gnaneswara Rao,0.0,6.0,2,7.0,70000.0,60000.0,2.0,0.0
Y Nagar,4.0,72.0,20,10.42,31.25,18.0,7.0,0.0
Y Prithvi Raj,1.0,33.0,2,10.36,56.99,33.0,0.0,0.0
Y Venugopal Rao,6.0,222.0,57,9.14,56.33,37.0,13.0,0.0
YA Abdulla,15.0,222.0,11,8.41,20.73,14.8,0.0,0.0
YBK Jaiswal,0.0,1.0,23,36.0,60000.0,10000.0,6.0,0.0
YK Pathan,42.0,1184.0,161,7.31,34.36,28.19,41.0,0.0
YS Chahal,166.0,2940.0,130,7.55,22.28,17.71,21.0,0.0
YV Takawale,0.0,0.0,10,0.0,0.0,0.0,13.0,4.0
Yash Dayal,11.0,205.0,9,8.66,26.91,18.64,1.0,0.0
Yashpal Singh,0.0,0.0,4,0.0,0.0,0.0,3.0,0.0
Younis Khan,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
Yuvraj Singh,36.0,882.0,129,7.42,30.31,24.5,29.0,0.0
Z Khan,102.0,2276.0,99,7.54,28.04,22.31,20.0,0.0
